Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
534	--	2	2	4(12)	--	--	4	4.0
536	--	--	2	4(14)	--	--	5	5.0
538	--	1	1	1	4	--	6	6.0
547	1	2	5	--	--	--	3	3.0
548	4	--	--	--	--	--	1	1.0
558	2	4	--	--	--	--	2	2.0


Results to read
Couple	Place
548	1
558	2
547	3
534	4
536	5
538	6
