Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
524	--	--	--	1	1	4(22)	7(43)	6	6.5
526	5	--	--	--	--	--	--	1	1.0
528	--	2	5	--	--	--	--	2	2.0
533	2	3	4	--	--	--	--	3	3.0
539	--	--	--	1	1	4(22)	7(43)	6	6.5
557	--	2	2	3	7	--	--	4	4.0
560	--	2	3	3	5	--	--	5	5.0


Results to read
Couple	Place
526	1
528	2
533	3
557	4
560	5
524	6
539	6
