Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
527	--	--	--	--	4	--	6	6.0
532	7	--	--	--	--	--	1	1.0
540	--	--	4	--	--	--	3	3.0
547	--	--	1	4	--	--	5	5.0
548	--	6	--	--	--	--	2	2.0
558	--	1	3	5	--	--	4	4.0


Results to read
Couple	Place
532	1
548	2
540	3
558	4
547	5
527	6
