Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
526	6	--	--	--	--	--	--	1	1.0
528	1	4	--	--	--	--	--	2	2.0
529	--	1	1	1	2	5	--	6	6.0
533	--	1	5	--	--	--	--	3	3.0
534	--	1	1	4	--	--	--	4	4.0
549	--	--	1	1	2	3	7	7	7.0
556	--	1	1	2	4	--	--	5	5.0


Results to read
Couple	Place
526	1
528	2
533	3
534	4
556	5
529	6
549	7
