Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
526	--	2	4	--	--	--	3	3.0
528	2	5	--	--	--	--	2	2.0
529	--	--	--	--	2	7	6	6.0
533	--	1	2	5	--	--	4	4.0
534	5	--	--	--	--	--	1	1.0
537	--	--	2	3	6	--	5	5.0


Results to read
Couple	Place
534	1
528	2
526	3
533	4
537	5
529	6
