Couple	1	1-2	1-3	1-4	1-5	result	average
524	--	--	4(12)	--	--	4	4.0
537	--	5	--	--	--	2	2.0
539	--	2	4(10)	--	--	3	3.0
545	--	--	--	--	7	5	5.0
558	7	--	--	--	--	1	1.0


Results to read
Couple	Place
558	1
537	2
539	3
524	4
545	5
