Couple	1	1-2	1-3	1-4	1-5	result	average
524	--	--	5	--	--	3	3.0
537	--	6	--	--	--	2	2.0
539	--	1	2	7	--	4	4.0
545	1	1	1	1	7	5	5.0
558	6	--	--	--	--	1	1.0


Results to read
Couple	Place
558	1
537	2
524	3
539	4
545	5
