Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	result	average
523	--	--	--	3	3	4(18)	--	--	5	5.0
528	--	1	4	--	--	--	--	--	3	3.0
534	2	5	--	--	--	--	--	--	2	2.0
536	4	--	--	--	--	--	--	--	1	1.0
537	--	--	1	1	2	4(20)	--	--	6	6.0
546	--	--	--	1	1	4(22)	--	--	7	7.0
558	1	2	2	3	7	--	--	--	4	4.0
564	--	1	1	2	3	3	6	--	8	8.0


Results to read
Couple	Place
536	1
534	2
528	3
558	4
523	5
537	6
546	7
564	8
