Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	result	average
524	1	1	3	3	4	--	--	--	5	5.0
526	1	4	--	--	--	--	--	--	2	2.0
528	5	--	--	--	--	--	--	--	1	1.0
529	--	--	--	--	2	5	--	--	6	6.0
533	--	--	3	6	--	--	--	--	4	4.0
537	--	2	4	--	--	--	--	--	3	3.0
543	--	--	--	--	--	1	3	7	8	8.0
557	--	--	--	--	2	2	4	--	7	7.0


Results to read
Couple	Place
528	1
526	2
537	3
533	4
524	5
529	6
557	7
543	8
