Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
526	--	1	4(11)	5(15)	5	--	--	4	4.0
533	--	--	--	3	4(17)	--	--	5	5.0
536	--	1	4(11)	5(15)	7	--	--	3	3.0
538	--	--	1	1	4(18)	--	--	6	6.0
547	4	--	--	--	--	--	--	1	1.0
555	--	--	--	1	1	3	7	7	7.0
558	3	5	--	--	--	--	--	2	2.0


Results to read
Couple	Place
547	1
558	2
536	3
526	4
533	5
538	6
555	7
