waltz
Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
527	--	--	--	1	2	5(27)	--	7	7.0
532	3	5	--	--	--	--	--	1	1.0
536	--	--	1	2	3	5(24)	--	6	6.0
540	--	1	1	2	4	--	--	5	5.0
547	1	1	1	4	--	--	--	4	4.0
548	1	4	--	--	--	--	--	2	2.0
558	2	3	6	--	--	--	--	3	3.0


quickstep
Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
527	--	--	--	--	1	5	--	6	6.0
532	3	5	--	--	--	--	--	1	1.0
536	--	--	--	--	1	3	7	7	7.0
540	--	--	1	4	--	--	--	5	5.0
547	2	3	4	--	--	--	--	3	3.0
548	1	3	6	--	--	--	--	2	2.0
558	1	3	3	5	--	--	--	4	4.0


tango
Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
527	--	1	1	1	2	4	--	7	7.0
532	5	--	--	--	--	--	--	1	1.0
536	--	--	--	1	4	--	--	6	6.0
540	1	2	2	3	5	--	--	5	5.0
547	--	1	2	5	--	--	--	3	3.0
548	1	4	--	--	--	--	--	2	2.0
558	--	--	3	4	--	--	--	4	4.0


Couple	waltz	quickstep	tango	Total	Final Place
527	7.0	6.0	7.0	20.0	7
532	1.0	1.0	1.0	3.0	1
536	6.0	7.0	6.0	19.0	6
540	5.0	5.0	5.0	15.0	5
547	4.0	3.0	3.0	10.0	3
548	2.0	2.0	2.0	6.0	2
558	3.0	4.0	4.0	11.0	4


Results to Read
532	1
548	2
547	3
558	4
540	5
536	6
527	7
