Couple	1	1-2	1-3	1-4	1-5	result	average
531	--	1	1	5	--	4	4.0
532	1	4	--	--	--	2	2.0
567	--	2	5	--	--	3	3.0
569	6	--	--	--	--	1	1.0
570	--	--	1	2	7	5	5.0


Results to read
Couple	Place
569	1
532	2
567	3
531	4
570	5
