Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
523	--	--	--	3	5	--	--	5	5.0
534	--	6	--	--	--	--	--	2	2.0
536	7	--	--	--	--	--	--	1	1.0
546	--	--	1	3	4	--	--	6	6.0
558	--	--	2	4	--	--	--	4	4.0
564	--	1	4	--	--	--	--	3	3.0
568	--	--	--	--	2	2	7	7	7.0


Results to read
Couple	Place
536	1
534	2
564	3
558	4
523	5
546	6
568	7
