Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
522	1	8	1	8	1	7	8
524	2	7	4	7	7	8	1
525	3	6	3	3	6	6	2
526	4	5	8	2	5	2	6
527	5	4	2	1	8	1	3
528	6	3	7	6	3	5	4
529	7	2	5	5	4	4	7
530	8	1	6	4	2	3	5
