Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel
522	8	1	1	8	1	7	8
524	7	2	4	1	7	8	7
525	6	3	3	2	6	6	3
526	5	4	8	6	5	2	2
527	4	5	2	3	8	1	1
528	3	6	7	4	3	5	6
529	2	7	5	7	4	4	5
530	1	8	6	5	2	3	4
