Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
208	--	--	1	2	--	--	--	4	4.0
210	3	--	--	--	--	--	--	1	1.0
214	--	--	--	--	1	2(11)	--	6	6.0
215	--	--	--	1	2	--	--	5	5.0
223	--	--	--	--	--	2(12)	--	7	7.0
226	--	2	--	--	--	--	--	2	2.0
233	--	1	2	--	--	--	--	3	3.0


Results to read
Couple	Place
210	1
226	2
233	3
208	4
215	5
214	6
223	7
