Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
213	--	2	3	--	--	--	--	3	3.0
220	--	--	--	1	3	--	--	5	5.0
221	--	--	--	--	1	5	--	6	6.0
226	--	--	--	2	2	2	5	7	7.0
229	--	3	--	--	--	--	--	2	2.0
234	--	--	2	4	--	--	--	4	4.0
241	5	--	--	--	--	--	--	1	1.0


Results to read
Couple	Place
241	1
229	2
213	3
234	4
220	5
221	6
226	7
