Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	result	average
208	--	--	--	1	2	--	--	--	5	5.0
210	--	2	--	--	--	--	--	--	2	2.0
213	2	--	--	--	--	--	--	--	1	1.0
214	--	--	--	--	--	--	1	3	8	8.0
215	--	--	--	--	1	3	--	--	6	6.0
223	--	--	--	--	--	--	2	--	7	7.0
226	1	1	3	--	--	--	--	--	3	3.0
230	--	1	1	2	--	--	--	--	4	4.0


Results to read
Couple	Place
213	1
210	2
226	3
230	4
208	5
215	6
223	7
214	8
