Couple	1	1-2	1-3	1-4	1-5	result	average
201	3	--	--	--	--	1	1.0
204	--	1	2	5	--	3	3.0
218	--	--	1	1	5	5	5.0
232	--	1	2	4	--	4	4.0
238	2	4	--	--	--	2	2.0


Results to read
Couple	Place
201	1
238	2
204	3
232	4
218	5
