Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
208	--	--	--	--	5	--	--	5	5.0
212	--	--	--	--	--	--	5	7	7.0
213	--	3	--	--	--	--	--	2	2.0
226	--	--	--	5	--	--	--	4	4.0
229	--	2	5	--	--	--	--	3	3.0
241	5	--	--	--	--	--	--	1	1.0
244	--	--	--	--	--	5	--	6	6.0


Results to read
Couple	Place
241	1
213	2
229	3
226	4
208	5
244	6
212	7
