Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
202	--	1	1	1	3	--	--	5	5.0
203	--	1	2	5	--	--	--	4	4.0
212	2	3(4)	--	--	--	--	--	1	1.0
213	2	2	4	--	--	--	--	3	3.0
219	1	3(5)	--	--	--	--	--	2	2.0
226	--	--	--	--	1	1	5	7	7.0
229	--	--	--	2	2	5	--	6	6.0


Results to read
Couple	Place
212	1
219	2
213	3
203	4
202	5
229	6
226	7
