Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
202	3	--	--	--	--	--	--	1	1.0
207	--	1	2	3	--	--	--	4	4.0
215	--	--	2	2	2	4	--	6	6.0
217	--	--	--	--	3	--	--	5	5.0
219	2	5	--	--	--	--	--	2	2.0
227	--	--	1	5	--	--	--	3	3.0
230	--	--	--	--	1	1	5	7	7.0


Results to read
Couple	Place
202	1
219	2
227	3
207	4
217	5
215	6
230	7
