Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
213	3	--	--	--	--	--	1	1.0
217	--	--	--	--	4	--	5	5.0
220	--	--	--	--	1	5	6	6.0
221	--	--	3	--	--	--	4	4.0
226	2	3(4)	--	--	--	--	2	2.0
229	--	3(6)	--	--	--	--	3	3.0


Results to read
Couple	Place
213	1
226	2
229	3
221	4
217	5
220	6
