Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	result	average
202	--	4	--	--	--	--	--	--	2	2.0
209	--	--	2	3(10)	--	--	--	--	4	4.0
216	--	--	--	--	--	1	4	--	7	7.0
217	--	--	--	3(12)	--	--	--	--	5	5.0
219	5	--	--	--	--	--	--	--	1	1.0
222	--	1	2	3(9)	--	--	--	--	3	3.0
227	--	--	1	1	4	--	--	--	6	6.0
230	--	--	--	--	--	--	1	5	8	8.0


Results to read
Couple	Place
219	1
202	2
222	3
209	4
217	5
227	6
216	7
230	8
