Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
217	--	--	--	--	--	2	5	7	7.0
220	--	1	1	1	5	--	--	6	6.0
221	--	--	1	3(11)	3(11)	4(17)	5(24)	4	4.5
226	--	--	1	3(11)	3(11)	4(17)	5(24)	4	4.5
229	--	4	--	--	--	--	--	2	2.0
234	--	--	2	3(10)	--	--	--	3	3.0
241	5	--	--	--	--	--	--	1	1.0


Results to read
Couple	Place
241	1
229	2
234	3
221	4
226	4
220	6
217	7
