Couple	1	1-2	1-3	1-4	1-5	result	average
200	--	2	5	--	--	3	3.0
203	4	--	--	--	--	1	1.0
210	--	1	2	4	--	4	4.0
212	1	3	--	--	--	2	2.0
226	--	--	--	2	5	5	5.0


Results to read
Couple	Place
203	1
212	2
200	3
210	4
226	5
