Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
203	2	5	--	--	--	--	--	1	1.0
209	--	--	--	1	1	3(16)	--	7	7.0
210	1	1	1	3	--	--	--	4	4.0
212	2	4	--	--	--	--	--	2	2.0
213	--	--	3	--	--	--	--	3	3.0
226	--	--	--	1	2	3(15)	--	6	6.0
229	--	--	1	1	3	--	--	5	5.0


Results to read
Couple	Place
203	1
212	2
213	3
210	4
229	5
226	6
209	7
