waltz
Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
200	2	2	3(5)	--	--	--	--	3	3.0
210	--	3	--	--	--	--	--	2	2.0
212	3	--	--	--	--	--	--	1	1.0
223	--	--	--	--	--	--	5	7	7.0
226	--	--	--	1	2	5	--	6	6.0
229	--	--	--	--	4	--	--	5	5.0
241	--	1	3(8)	--	--	--	--	4	4.0


quickstep
Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
200	2	3	--	--	--	--	--	2	2.0
210	--	1	3	--	--	--	--	4	4.0
212	2	4	--	--	--	--	--	1	1.0
223	--	--	--	--	--	2	5	7	7.0
226	--	--	--	1	3(14)	3	--	6	6.0
229	--	--	--	1	3(14)	5	--	5	5.0
241	1	2	4	--	--	--	--	3	3.0


tango
Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
200	2	2	5	--	--	--	--	3	3.0
210	--	--	1	5	--	--	--	4	4.0
212	1	3	--	--	--	--	--	2	2.0
223	--	--	--	--	1	1	5	7	7.0
226	--	--	--	--	2	4	--	6	6.0
229	--	--	--	--	2	5	--	5	5.0
241	2	5	--	--	--	--	--	1	1.0


Couple	waltz	quickstep	tango	Total	Final Place
200	3.0	2.0	3.0	8.0	3 (R10)
210	2.0	4.0	4.0	10.0	4
212	1.0	1.0	2.0	4.0	1
223	7.0	7.0	7.0	21.0	7
226	6.0	6.0	6.0	18.0	6
229	5.0	5.0	5.0	15.0	5
241	4.0	3.0	1.0	8.0	2 (R10)


Results to Read
212	1
241	2
200	3
210	4
229	5
226	6
223	7
