Couple	1	1-2	1-3	1-4	1-5	result	average
203	--	--	--	--	5	5	5.0
210	--	5	--	--	--	2	2.0
212	5	--	--	--	--	1	1.0
226	--	--	1	5	--	4	4.0
229	--	--	4	--	--	3	3.0


Results to read
Couple	Place
212	1
210	2
229	3
226	4
203	5
