Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
202	--	--	--	--	2	3(16)	--	7	7.0
203	2	3	--	--	--	--	--	2	2.0
212	--	2	3(7)	--	--	--	--	3	3.0
213	3	--	--	--	--	--	--	1	1.0
219	--	1	3(8)	--	--	--	--	4	4.0
226	--	--	--	1	1	4	--	5	5.0
229	--	--	--	1	2	3(15)	--	6	6.0


Results to read
Couple	Place
213	1
203	2
212	3
219	4
226	5
229	6
202	7
