Couple	1	1-2	1-3	1-4	1-5	result	average
203	4	--	--	--	--	1	1.0
209	--	--	--	1	5	5	5.0
228	--	--	--	4	--	4	4.0
231	--	3(6)	--	--	--	3	3.0
234	1	3(5)	--	--	--	2	2.0


Results to read
Couple	Place
203	1
234	2
231	3
228	4
209	5
