Couple	1	1-2	1-3	1-4	1-5	result	average
200	1	3	--	--	--	2	2.0
210	--	2	5	--	--	3	3.0
212	4	--	--	--	--	1	1.0
226	--	--	--	--	5	5	5.0
229	--	--	--	5	--	4	4.0


Results to read
Couple	Place
212	1
200	2
210	3
229	4
226	5
