Couple	1	1-2	1-3	1-4	1-5	result	average
203	4	--	--	--	--	1	1.0
209	--	2	5	--	--	3	3.0
214	--	--	--	--	5	5	5.0
230	--	--	--	5	--	4	4.0
234	1	3	--	--	--	2	2.0


Results to read
Couple	Place
203	1
234	2
209	3
230	4
214	5
