Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
210	--	1	1	3	--	--	4	4.0
213	3	--	--	--	--	--	1	1.0
215	--	--	--	1	1	3	6	6.0
222	--	1	3	--	--	--	2	2.0
223	--	--	--	--	2	--	5	5.0
226	--	1	2	--	--	--	3	3.0


Results to read
Couple	Place
213	1
222	2
226	3
210	4
223	5
215	6
