Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
201	4	--	--	--	--	--	1	1.0
218	1	4	--	--	--	--	2	2.0
224	--	--	--	1	4	--	5	5.0
237	--	--	--	3	--	--	4	4.0
240	--	--	2	2	3	--	6	6.0
243	--	1	3	--	--	--	3	3.0


Results to read
Couple	Place
201	1
218	2
243	3
237	4
224	5
240	6
