Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
202	--	--	1	2	3	--	--	6	6.0
203	--	1	2	4	--	--	--	3	3.0
212	2	4	--	--	--	--	--	1	1.0
213	1	1	2	2	4	--	--	5	5.0
219	1	2	3	--	--	--	--	2	2.0
226	1	2	2	3	--	--	--	4	4.0
229	--	--	--	--	1	3	--	7	7.0


Results to read
Couple	Place
212	1
219	2
203	3
226	4
213	5
202	6
229	7
