Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
203	--	2	3	--	--	--	3	3.0
210	--	3	--	--	--	--	2	2.0
212	5	--	--	--	--	--	1	1.0
213	--	--	--	2	4(18)	--	5	5.0
229	--	--	1	1	2	5	6	6.0
234	--	--	1	2	4(17)	--	4	4.0


Results to read
Couple	Place
212	1
210	2
203	3
234	4
213	5
229	6
