Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
202	--	--	2	2	3(11)	4(17)	5(24)	5	5.5
203	--	2	3(7)	--	--	--	--	3	3.0
210	--	1	1	2	3(11)	4(17)	5(24)	5	5.5
212	1	2	2	3	--	--	--	4	4.0
213	2	2	3(5)	--	--	--	--	2	2.0
219	2	3	--	--	--	--	--	1	1.0
226	--	--	1	1	2	4	--	7	7.0


Results to read
Couple	Place
219	1
213	2
203	3
212	4
202	5
210	5
226	7
