Couple	1	1-2	1-3	1-4	1-5	result	average
217	--	--	--	4	--	4	4.0
220	--	--	--	1	5	5	5.0
221	1	2	5	--	--	3	3.0
226	2	4(6)	5(9)	5(9)	5(9)	1	1.5
229	2	4(6)	5(9)	5(9)	5(9)	1	1.5


Results to read
Couple	Place
226	1
229	1
221	3
217	4
220	5
