Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
203	--	1	3(8)	--	--	--	--	4	4.0
210	--	3	--	--	--	--	--	2	2.0
212	4	--	--	--	--	--	--	1	1.0
213	--	1	2	4	--	--	--	5	5.0
226	--	--	--	--	--	1	5	7	7.0
229	1	1	3(7)	--	--	--	--	3	3.0
234	--	--	--	1	2	4	--	6	6.0


Results to read
Couple	Place
212	1
210	2
229	3
203	4
213	5
234	6
226	7
