Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
201	1	3(5)	--	--	--	--	2	2.0
204	--	3(6)	--	--	--	--	3	3.0
218	--	--	--	2	4(18)	5(24)	4	4.5
224	--	--	--	1	2	5	6	6.0
232	--	--	--	2	4(18)	5(24)	4	4.5
238	4	--	--	--	--	--	1	1.0


Results to read
Couple	Place
238	1
201	2
204	3
218	4
232	4
224	6
