Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	result	average
200	--	1	1	1	1	2	--	--	6	6.0
201	2	--	--	--	--	--	--	--	1	1.0
218	--	--	--	2	--	--	--	--	4	4.0
236	1	2	--	--	--	--	--	--	2	2.0
237	--	--	--	--	1	1	2	--	7	7.0
238	--	--	3	--	--	--	--	--	3	3.0
240	--	--	--	--	--	--	1	3	8	8.0
242	--	--	--	1	2	--	--	--	5	5.0


Results to read
Couple	Place
201	1
236	2
238	3
218	4
242	5
200	6
237	7
240	8
