Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	result	average
200	--	1	1	1	4	--	--	4	4.0
201	1	3(5)	--	--	--	--	--	2	2.0
218	--	1	1	2	3	--	--	5	5.0
236	2	2	3	--	--	--	--	3	3.0
238	2	3(4)	--	--	--	--	--	1	1.0
242	--	--	--	1	2	2	5	7	7.0
243	--	--	1	2	2	4	--	6	6.0


Results to read
Couple	Place
238	1
201	2
236	3
200	4
218	5
243	6
242	7
