Couple	1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	result	average
202	2	5	--	--	--	--	--	--	2	2.0
203	--	--	--	--	--	--	--	5	8	8.0
214	--	--	1	1	1	5	--	--	6	6.0
215	--	--	4	--	--	--	--	--	3	3.0
219	3	--	--	--	--	--	--	--	1	1.0
220	--	--	--	4	--	--	--	--	4	4.0
233	--	--	--	--	4	--	--	--	5	5.0
239	--	--	--	--	--	--	5	--	7	7.0


Results to read
Couple	Place
219	1
202	2
215	3
220	4
233	5
214	6
239	7
203	8
