Couple	1	1-2	1-3	1-4	result	average
210	3	--	--	--	1	1.0
214	--	--	2	--	3	3.0
223	--	--	1	3	4	4.0
226	--	3	--	--	2	2.0


Results to read
Couple	Place
210	1
226	2
214	3
223	4
