Couple	1	1-2	1-3	1-4	result	average
212	5	--	--	--	1	1.0
213	--	3	--	--	2	2.0
229	--	2	5	--	3	3.0
230	--	--	--	5	4	4.0


Results to read
Couple	Place
212	1
213	2
229	3
230	4
