Couple	1	1-2	1-3	1-4	1-5	1-6	result	average
203	5	--	--	--	--	--	1	1.0
215	--	--	--	1	2	5	6	6.0
217	--	--	--	--	3	--	5	5.0
220	--	--	1	4	--	--	4	4.0
231	--	1	4	--	--	--	3	3.0
234	--	4	--	--	--	--	2	2.0


Results to read
Couple	Place
203	1
234	2
231	3
220	4
217	5
215	6
